Country/Region,Cumulative Confirmed Cases,Total New Confirmed Cases,Cumulative Deaths,Total New Deaths,Classification of Transmission,Date,Retrieved,Report Number
Rwanda,102,13,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Madagascar,70,5,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Uganda,48,3,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Congo,45,4,5,2.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Togo,40,1,3,1.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Mali,39,3,4,1.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Zambia,39,0,1,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Ethiopia,38,3,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Gabon,21,0,1,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Eritrea,20,0,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
United Republic of,20,0,1,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Guinea-Bissau,18,3,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Equatorial Guinea,16,1,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Namibia,14,1,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Benin,13,0,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Angola,10,0,2,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Liberia,10,3,1,1.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Mozambique,10,0,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Seychelles,10,0,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Central African,9,1,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Eswatini,9,0,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Zimbabwe,9,0,1,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Chad,7,0,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Mauritania,6,0,1,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Cabo Verde,5,0,1,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Botswana,4,0,1,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Gambia,4,0,1,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Sierra Leone,4,2,0,0.0,Imported cases only,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Burundi,3,0,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Malawi,3,0,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Réunion,334,13,0,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Mayotte,147,19,2,0.0,Local transmission,05/04/2020,2020-04-07 14:31:43.814617+10:00,76
Territory/Area  †,confirmed,confirmed,deaths,new,classification§,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
China,83005,75,3340,2,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Republic of Korea,10284,47,186,3,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Australia,5744,109,36,2,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Malaysia,3662,179,61,4,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Japan,3654,383,73,3,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Philippines,3246,152,152,8,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Singapore,1309,120,6,1,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
New Zealand,911,39,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Viet Nam,241,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Brunei Darussalam,135,0,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cambodia,114,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Mongolia,14,0,0,0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Fiji,12,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Lao People's,11,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Papua New Guinea,1,0,0,0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guam,112,19,4,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
French Polynesia,41,1,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
New Caledonia,18,0,0,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Northern Mariana,8,0,1,0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Spain,130759,6023,12418,674,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Italy,128948,4316,15889,527,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Germany,95391,3677,1434,92,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
France,69607,1850,8064,518,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
The United Kingdom,47810,5903,4934,621,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Turkey,27069,3135,574,73,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Switzerland,21065,576,715,49,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Belgium,19691,1260,1447,164,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Netherlands,17851,1224,1766,115,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Austria,11983,217,204,18,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Portugal,11278,754,295,29,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Israel,8018,429,46,4,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Sweden,6830,387,401,28,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Norway,5640,130,58,8,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Russian Federation,5389,658,45,2,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Ireland,5111,507,158,21,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Czechia,4587,115.0,67.0,8.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Denmark,4369,292.0,179.0,18.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Poland,4102,475.0,94.0,15.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Romania,3864,251.0,148.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Luxembourg,2804,75.0,36.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Finland,1927,45.0,28.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Serbia,1908,284.0,51.0,12.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Greece,1735,62.0,73.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Iceland,1486,69.0,4.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Ukraine,1319,68.0,38.0,6.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Croatia,1182,56.0,15.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Estonia,1097,79.0,15.0,2.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Slovenia,997,20.0,28.0,6.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Republic of Moldova,864,112.0,15.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Lithuania,811,40.0,13.0,4.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Armenia,746,0.0,7.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Hungary,744,11.0,38.0,4.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Bosnia andHerzegovina",662,30.0,21.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Kazakhstan,604,73.0,5.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Azerbaijan,584,72.0,5.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Belarus,562,122.0,8.0,4.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
North Macedonia,555,72.0,18.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Latvia,533,24.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bulgaria,531,28.0,20.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Andorra,523,57.0,17.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Slovakia,485,14.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cyprus,446,20.0,14.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Uzbekistan,390,92.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Albania,377,44.0,21.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
San Marino,266,7.0,32.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Malta,234,21.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Kyrgyzstan,216,69.0,4.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Montenegro,203,6.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Georgia,188,18.0,2.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Liechtenstein,78,1.0,1.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Monaco,37,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Holy See,7,0.0,0.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Faroe Islands,181,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Jersey,155,32.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guernsey,154,18.0,3.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Kosovo[1],145,5.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Isle of Man,127,1.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Gibraltar,103,5.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Greenland,11,1.0,0.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
India,4067,693.0,109.0,32.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Indonesia,2273,181.0,198.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Thailand,2169,102.0,23.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Sri Lanka,176,17.0,5.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bangladesh,88,18.0,8.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Myanmar,21,1.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Maldives,19,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Nepal,9,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bhutan,5,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Timor-Leste,1,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Iran (Islamic Republicof)",58226,2483.0,3603.0,151.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Pakistan,3277,397.0,50.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Saudi Arabia,2463,93.0,34.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
United Arab Emirates,1799,294.0,10.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Qatar,1604,279.0,4.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Egypt,1173,103.0,78.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Morocco,1113,153.0,71.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Iraq,961,83.0,61.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bahrain,700,12.0,4.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Tunisia,574,21.0,22.0,3.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Kuwait,556,0.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Lebanon,527,0.0,18.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Jordan,345,22.0,5.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Afghanistan,337,38.0,7.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Oman,331,33.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Djibouti,59,8.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Syrian Arab Republic,19,3.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Libya,18,1.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Sudan,12,2.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Somalia,7,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"occupied Palestinianterritory",246,29.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"United States ofAmerica",307318,33510.0,8358.0,1338.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Canada,13904,966.0,231.0,17.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Brazil,10278,1222.0,432.0,73.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Chile,4471,310.0,34.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Ecuador,3465,0.0,172.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Mexico,1890,202.0,79.0,19.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Panama,1801,128.0,46.0,5.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Peru,1746,151.0,73.0,12.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Dominican Republic,1488,0.0,68.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Argentina,1451,98.0,44.0,2.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Colombia,1406,139.0,32.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Costa Rica,435,19.0,2.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Uruguay,400,14.0,5.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cuba,320,32.0,8.0,2.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Honduras,268,4.0,22.0,7.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Bolivia (PlurinationalState of)",157,18.0,10.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Venezuela (BolivarianRepublic of)",144,0.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Paraguay,104,8.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Trinidad and Tobago,103,3.0,6.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
El Salvador,62,6.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guatemala,61,11.0,2.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Jamaica,55,2.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Barbados,51,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bahamas,28,4.0,4.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guyana,24,1.0,4.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Haiti,21,3.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Saint Lucia,14,1.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Grenada,12,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Dominica,11,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Suriname,10,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Saint Kitts and Nevis,9,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Antigua and Barbuda,7,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Belize,5,1.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Nicaragua,5,0.0,1.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Saint Vincent and theGrenadines",3,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Puerto Rico,452,0.0,18.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Martinique,145,0.0,3.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Guadeloupe,134,4.0,7.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
French Guiana,66,4.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Aruba,64,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"United States VirginIslands",42,2.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Bermuda,37,2.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cayman Islands,35,7.0,1.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Saint Martin,29,5.0,2.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Sint Maarten,23,0.0,2.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Curaçao,11,0.0,1.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Montserrat,6,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Saint Barthélemy,6,0.0,0.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Turks and CaicosIslands",5,0.0,1.0,1.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Anguilla,3,0.0,0.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
British Virgin Islands,3,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Bonaire, Sint Eustatiusand Saba",2,0.0,0.0,0.0,Imported cases only,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
"Falkland Islands(Malvinas)",2,1.0,0.0,0.0,Under investigation,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
South Africa,1655,70.0,11.0,2.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Algeria,1251,0.0,130.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
Cameroon,555,0.0,9.0,0.0,Local transmission,06/04/2020,2020-04-07 14:32:22.999086+10:00,77
